fecha,busquedas,visitas,festivo,festividad
2015-01-01,101,67,1,AñoNuevo
2015-01-02,50,24,0,
2015-01-03,50,28,0,
2015-01-04,64,49,0,
2015-01-05,54,38,0,
2015-01-06,45,34,0,
2015-01-07,41,21,0,
2015-01-08,41,29,0,
2015-01-09,48,23,0,
2015-01-10,41,23,0,
2015-01-11,53,29,0,
2015-01-12,55,33,0,
2015-01-13,54,38,0,
2015-01-14,57,37,0,
2015-01-15,51,24,0,
2015-01-16,57,35,0,
2015-01-17,52,33,0,
2015-01-18,42,25,0,
2015-01-19,54,28,0,
2015-01-20,52,36,0,
2015-01-21,41,29,0,
2015-01-22,56,23,0,
2015-01-23,62,42,0,
2015-01-24,46,26,0,
2015-01-25,53,41,0,
2015-01-26,53,42,0,
2015-01-27,45,27,0,
2015-01-28,41,24,0,
2015-01-29,58,39,0,
2015-01-30,54,39,0,
2015-01-31,46,35,0,
2015-02-01,54,34,0,
2015-02-02,53,24,0,
2015-02-03,54,25,0,
2015-02-04,46,33,0,
2015-02-05,111,45,1,DíaConstitución
2015-02-06,64,47,0,
2015-02-07,65,49,0,
2015-02-08,57,28,0,
2015-02-09,44,21,0,
2015-02-10,56,30,0,
2015-02-11,44,22,0,
2015-02-12,52,27,0,
2015-02-13,55,28,0,
2015-02-14,58,38,0,
2015-02-15,59,37,0,
2015-02-16,41,24,0,
2015-02-17,44,20,0,
2015-02-18,48,21,0,
2015-02-19,49,33,0,
2015-02-20,53,32,0,
2015-02-21,42,18,0,
2015-02-22,66,48,0,
2015-02-23,57,37,0,
2015-02-24,48,26,0,
2015-02-25,45,27,0,
2015-02-26,47,37,0,
2015-02-27,46,21,0,
2015-02-28,60,46,0,
2015-03-01,37,25,0,
2015-03-02,48,26,0,
2015-03-03,67,44,0,
2015-03-04,48,31,0,
2015-03-05,52,28,0,
2015-03-06,48,22,0,
2015-03-07,43,20,0,
2015-03-08,60,38,0,
2015-03-09,50,39,0,
2015-03-10,45,20,0,
2015-03-11,53,38,0,
2015-03-12,46,33,0,
2015-03-13,53,21,0,
2015-03-14,60,40,0,
2015-03-15,42,33,0,
2015-03-16,40,20,0,
2015-03-17,43,19,0,
2015-03-18,42,27,0,
2015-03-19,54,31,0,
2015-03-20,59,32,0,
2015-03-21,139,80,1,BenitoJuárez
2015-03-22,48,35,0,
2015-03-23,47,33,0,
2015-03-24,54,29,0,
2015-03-25,46,34,0,
2015-03-26,49,38,0,
2015-03-27,54,40,0,
2015-03-28,41,17,0,
2015-03-29,51,34,0,
2015-03-30,60,35,0,
2015-03-31,43,23,0,
2015-04-01,51,20,0,
2015-04-02,59,23,0,
2015-04-03,127,82,1,SemanaSanta
2015-04-04,59,39,0,
2015-04-05,55,24,0,
2015-04-06,48,24,0,
2015-04-07,53,22,0,
2015-04-08,47,27,0,
2015-04-09,50,32,0,
2015-04-10,56,38,0,
2015-04-11,63,31,0,
2015-04-12,53,38,0,
2015-04-13,35,19,0,
2015-04-14,44,33,0,
2015-04-15,47,31,0,
2015-04-16,49,34,0,
2015-04-17,48,37,0,
2015-04-18,59,39,0,
2015-04-19,46,19,0,
2015-04-20,45,23,0,
2015-04-21,48,25,0,
2015-04-22,42,32,0,
2015-04-23,50,31,0,
2015-04-24,51,21,0,
2015-04-25,50,28,0,
2015-04-26,46,30,0,
2015-04-27,35,18,0,
2015-04-28,43,32,0,
2015-04-29,50,20,0,
2015-04-30,47,19,0,
2015-05-01,52,40,0,
2015-05-02,45,24,0,
2015-05-03,45,33,0,
2015-05-04,39,19,0,
2015-05-05,46,34,0,
2015-05-06,49,37,0,
2015-05-07,63,37,0,
2015-05-08,49,33,0,
2015-05-09,41,21,0,
2015-05-10,134,59,1,DíaMadre
2015-05-11,49,30,0,
2015-05-12,48,35,0,
2015-05-13,47,30,0,
2015-05-14,43,25,0,
2015-05-15,67,28,0,
2015-05-16,42,23,0,
2015-05-17,48,34,0,
2015-05-18,39,26,0,
2015-05-19,48,36,0,
2015-05-20,52,39,0,
2015-05-21,51,25,0,
2015-05-22,52,24,0,
2015-05-23,49,23,0,
2015-05-24,52,41,0,
2015-05-25,59,41,0,
2015-05-26,57,22,0,
2015-05-27,50,29,0,
2015-05-28,43,31,0,
2015-05-29,57,26,0,
2015-05-30,51,30,0,
2015-05-31,50,24,0,
2015-06-01,55,28,0,
2015-06-02,46,23,0,
2015-06-03,43,18,0,
2015-06-04,56,35,0,
2015-06-05,58,25,0,
2015-06-06,51,21,0,
2015-06-07,47,29,0,
2015-06-08,66,34,0,
2015-06-09,51,20,0,
2015-06-10,47,33,0,
2015-06-11,46,21,0,
2015-06-12,43,27,0,
2015-06-13,45,18,0,
2015-06-14,49,25,0,
2015-06-15,53,39,0,
2015-06-16,51,30,0,
2015-06-17,47,19,0,
2015-06-18,52,24,0,
2015-06-19,57,39,0,
2015-06-20,46,27,0,
2015-06-21,123,79,1,DíaPadre
2015-06-22,56,27,0,
2015-06-23,43,21,0,
2015-06-24,51,29,0,
2015-06-25,44,24,0,
2015-06-26,53,41,0,
2015-06-27,57,32,0,
2015-06-28,43,23,0,
2015-06-29,47,24,0,
2015-06-30,48,24,0,
2015-07-01,55,25,0,
2015-07-02,48,20,0,
2015-07-03,52,38,0,
2015-07-04,42,25,0,
2015-07-05,45,31,0,
2015-07-06,58,33,0,
2015-07-07,53,39,0,
2015-07-08,49,28,0,
2015-07-09,49,23,0,
2015-07-10,37,19,0,
2015-07-11,40,23,0,
2015-07-12,45,21,0,
2015-07-13,53,25,0,
2015-07-14,44,28,0,
2015-07-15,54,33,0,
2015-07-16,46,32,0,
2015-07-17,44,33,0,
2015-07-18,49,30,0,
2015-07-19,55,36,0,
2015-07-20,62,36,0,
2015-07-21,54,27,0,
2015-07-22,53,32,0,
2015-07-23,49,24,0,
2015-07-24,33,21,0,
2015-07-25,53,22,0,
2015-07-26,44,29,0,
2015-07-27,53,36,0,
2015-07-28,49,23,0,
2015-07-29,52,25,0,
2015-07-30,40,25,0,
2015-07-31,45,28,0,
2015-08-01,58,32,0,
2015-08-02,43,18,0,
2015-08-03,61,45,0,
2015-08-04,62,28,0,
2015-08-05,40,19,0,
2015-08-06,58,42,0,
2015-08-07,41,25,0,
2015-08-08,56,24,0,
2015-08-09,49,33,0,
2015-08-10,35,16,0,
2015-08-11,45,34,0,
2015-08-12,57,30,0,
2015-08-13,59,46,0,
2015-08-14,60,38,0,
2015-08-15,29,18,0,
2015-08-16,54,39,0,
2015-08-17,60,43,0,
2015-08-18,56,35,0,
2015-08-19,68,45,0,
2015-08-20,40,28,0,
2015-08-21,57,32,0,
2015-08-22,52,41,0,
2015-08-23,66,43,0,
2015-08-24,44,35,0,
2015-08-25,54,24,0,
2015-08-26,53,35,0,
2015-08-27,41,25,0,
2015-08-28,62,28,0,
2015-08-29,46,26,0,
2015-08-30,44,30,0,
2015-08-31,60,32,0,
2015-09-01,52,30,0,
2015-09-02,49,34,0,
2015-09-03,49,26,0,
2015-09-04,49,35,0,
2015-09-05,54,22,0,
2015-09-06,47,31,0,
2015-09-07,58,30,0,
2015-09-08,61,45,0,
2015-09-09,49,19,0,
2015-09-10,43,31,0,
2015-09-11,66,46,0,
2015-09-12,47,32,0,
2015-09-13,53,22,0,
2015-09-14,42,28,0,
2015-09-15,51,28,0,
2015-09-16,119,53,1,DíaIndependencia
2015-09-17,63,41,0,
2015-09-18,61,28,0,
2015-09-19,42,29,0,
2015-09-20,47,28,0,
2015-09-21,57,40,0,
2015-09-22,62,33,0,
2015-09-23,49,25,0,
2015-09-24,51,22,0,
2015-09-25,53,40,0,
2015-09-26,42,22,0,
2015-09-27,54,26,0,
2015-09-28,56,38,0,
2015-09-29,55,37,0,
2015-09-30,41,29,0,
2015-10-01,52,27,0,
2015-10-02,52,37,0,
2015-10-03,50,21,0,
2015-10-04,41,24,0,
2015-10-05,50,28,0,
2015-10-06,32,14,0,
2015-10-07,49,29,0,
2015-10-08,53,37,0,
2015-10-09,46,22,0,
2015-10-10,55,37,0,
2015-10-11,31,24,0,
2015-10-12,54,27,0,
2015-10-13,53,23,0,
2015-10-14,55,23,0,
2015-10-15,44,30,0,
2015-10-16,60,27,0,
